      0.1              0.05             0.025            0.01             
0     NaN              NaN              NaN              NaN              
1     NaN              NaN              NaN              NaN              
2     NaN              NaN              NaN              NaN              
3     1.1483749680117  1.15311806142253 1.15430485134404 1.15463722541609 
4     1.425            1.4625           1.48125          1.4925           
5     1.60163485851807 1.6713856694849  1.71503731234336 1.74885680184973 
6     1.72888036411587 1.82211964234268 1.88714511778393 1.94424515829631 
7     1.82797645008037 1.93813471625978 2.0199685076796  2.0973039443956  
8     1.90894943351234 2.03165200154994 2.12664508719546 2.22083345151043 
9     1.97726491522184 2.10956178861427 2.21500422332553 2.32314842460587 
10    2.03623271130901 2.17606839419422 2.2899540844796  2.40972458715415 
11    2.08801361344124 2.23390770646829 2.35473005156554 2.48427903405182 
12    2.13409855003367 2.28495303955778 2.41155951843165 2.54941708792078 
13    2.1755605879195  2.3305402102769  2.4620328685427  2.60701953505878 
14    2.21319811726887 2.37165358034381 2.50732085257884 2.65848007977474 
15    2.24762130836313 2.4090384205901  2.54830777174334 2.70485537350977 
16    2.27930692571228 2.44327189905316 2.58567634067196 2.74696268317067 
17    2.3086344960866  2.4748096604618  2.61996363983444 2.78544527351444 
18    2.33591097999366 2.50401739022691 2.65159912012979 2.82081730356375 
19    2.36138808076859 2.53119280330653 2.6809310967754  2.85349537088506 
20    2.38527468446979 2.55658133449276 2.70824564580576 2.88382113631778 
21    2.40774598906116 2.58038757171683 2.73378035695653 2.91207785506887 
22    2.42895032770372 2.60278374294228 2.75773452456757 2.9385026591089  
23    2.4490143517272  2.6239161203492  2.78027682144986 2.96329582191022 
24    2.46804702472525 2.64390992445578 2.80155116155032 2.98662784350934 
25    2.48614274048958 2.6628731295085  2.8216812378052  3.00864493683032 
26    2.50338378550963 2.68089945181005 2.84077407647064 3.02947332480911 
27    2.51984230448732 2.69807072204701 2.85892285137135 3.04922264149988 
28    2.53558188436081 2.71445878736186 2.87620913433757 3.06798865003441 
29    2.55065884219586 2.73012705030684 2.89270471122897 3.08585543402461 
30    2.56512328083557 2.74513172445359 2.90847305974096 3.10289717899199 
31    2.57901996068862 2.7595228667619  2.92357056134428 3.11917963159918 
32    2.592389024685   2.77334523248542 2.93804750236115 3.13476130345886 
33    2.60526660502124 2.78663898783401 2.95194890641394 3.14969447080959 
34    2.61768533402184 2.79944030774216 2.96531523098037 3.1640260098144  
35    2.62967477668256 2.81178188016815 2.97818295364438 3.17779809855628 
36    2.64126179882434 2.82369333384184 2.99058506821014 3.19104881021106 
37    2.65247088198546 2.83520160292341 3.00255150669371 3.20381261682847 
38    2.66332439400359 2.84633123936092 3.01410949999911 3.21612081925233 
39    2.6738428225356  2.8571046816492  3.02528388759005 3.22800191567356 
40    2.68404497741986 2.86754248705527 3.03609738451122 3.2394819189297  
41    2.69394816671936 2.87766353307877 3.04657081256667 3.25058463078814 
42    2.70356835043161 2.88748519288549 3.05672330123548 3.26133187995507 
43    2.71292027516634 2.89702348862397 3.06657246292169 3.27174372936162 
44    2.72201759253795 2.90629322587037 3.07613454634541 3.28183865731869 
45    2.73087296356921 2.91530811190561 3.0854245712431  3.29163371635635 
46    2.7394981510348  2.92408086008999 3.09445644702339 3.30114467293496 
47    2.74790410137081 2.93262328223944 3.10324307760228 3.31038613069892 
48    2.75610101752706 2.94094637061147 3.11179645428999 3.31937163952285 
49    2.7640984239322  2.94906037086447 3.12012773831482 3.3281137922521  
50    2.77190522456953 2.95697484714949 3.128247334331   3.33662431074934 
51    2.77952975501783 2.96469874032551 3.13616495605779 3.34491412262239 
52    2.78697982919066 2.97224042014624 3.14388968503199 3.35299342980609 
53    2.79426278140596 2.97960773214785 3.15143002331601 3.36087177000328 
54    2.80138550433215 2.98680803986678 3.15879394088749 3.36855807185131 
55    2.80835448328377 2.99384826293081 3.16598891833626 3.37606070455972 
56    2.8151758272781  3.000734911496   3.17302198541132 3.38338752266327 
57    2.82185529721107 3.00747411743887 3.17989975588914 3.39054590645198 
58    2.82839833146567 3.01407166266199 3.1866284591726  3.3975427985632  
59    2.83481006922692 3.02053300482557 3.19321396898023 3.40438473716114 
60    2.84109537174454 3.02686330077937 3.19966182943738 3.41107788607654 
61    2.84725884175502 3.03306742793525 3.20597727884534 3.4176280622272  
62    2.85330484124991 3.03915000379281 3.21216527137037 3.4240407606111  
63    2.85923750775592 3.04511540380513 3.21823049686457 3.43032117711783 
64    2.86506076927279 3.05096777774964 3.22417739900824 3.4364742293848  
65    2.8707783579991  3.05671106475132 3.23001019193882 3.44250457589089 
66    2.87639382296124 3.06234900708809 3.23573287551558 3.44841663346387 
67    2.88191054164891 3.06788516289407 3.24134924934967 3.45421459335333 
68    2.88733173074856 3.0733229178643  3.24686292571798 3.45990243600963 
69    2.89266045605712 3.07866549605262 3.25227734146404 3.46548394468634 
70    2.89789964164971 3.08391596984565 3.25759576897895 3.47096271798057 
71    2.90305207836705 3.08907726918634 3.26282132634639 3.47634218140415 
72    2.90812043168226 3.0941521901136  3.26795698672601 3.481625598076   
73    2.91310724900014 3.09914340267731 3.2730055870418  3.48681607861183 
74    2.91801496643733 3.10405345828286 3.27796983603664 3.49191659028295 
75    2.92284591512645 3.10888479651307 3.28285232174682 3.49692996550836 
76    2.927602327084   3.11363975147143 3.28765551844565 3.50185890973308 
77    2.93228634067718 3.11832055768606 3.2923817931004  3.50670600874987 
78    2.93690000572203 3.12292935561048 3.2970334113825  3.51147373550666 
79    2.94144528824224 3.12746819675285 3.30161254326778 3.51616445644324 
80    2.94592407491504 3.13193904846405 3.30612126825883 3.52078043739593 
